src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-100,2024-09-04 12-30-54,-547,48,40799446877,1423905467,XDmLmWpK,40702982407
nokia,122,2024-09-04 12-33-33,-8112,79,40790709281,-1498735021,stGrTCwV,40757609762
nokia,-74,2024-09-04 12-30-54,-31736,44,40738098954,-279435629,EWJSYMiT,40732048286
nokia,75,2024-09-04 12-33-24,-5842,-21,40723512067,926398868,QTKBZDWy,40783408852
nokia,73,2024-09-04 12-31-54,-24065,-44,40723441782,-485322079,YZeHBMEk,40799891043
nokia,-117,2024-09-04 12-34-46,-9156,102,40787937051,482820058,sWwtOEtS,40730618697
nokia,-77,2024-09-04 12-34-33,27219,-85,40755211128,-729239318,EPOyGUqC,40761909067
nokia,-117,2024-09-04 12-33-23,16041,39,40769628602,-897934314,WLefYPdx,40741202924
nokia,-42,2024-09-04 12-34-43,-6952,15,40767832704,1315339734,alGHorQh,40797172419
nokia,-69,2024-09-04 12-30-48,-27047,-44,40746408568,203029702,IMIZJpEB,40722826671
nokia,42,2024-09-04 12-31-48,-15420,115,40735247104,163445056,lRdcrHwo,40767345035
nokia,37,2024-09-04 12-34-24,32435,-51,40779106293,759464749,pQnVDItf,40776116002
nokia,-43,2024-09-04 12-33-05,-7920,-20,40701709355,993260715,TmpFYZWB,40769025441
nokia,45,2024-09-04 12-33-30,13848,89,40789981825,-383186706,KkLVErsr,40729182716
nokia,-67,2024-09-04 12-31-56,23530,58,40741169552,2130593868,xgGHLSKP,40779819667
nokia,5,2024-09-04 12-31-17,26952,-37,40705268580,-712809851,aYITVFQa,40741108602
nokia,45,2024-09-04 12-30-03,-24462,-97,40784643497,-63747427,WJXhRytP,40710050775
nokia,37,2024-09-04 12-30-25,27474,-86,40730631259,-191750325,loSQnLYB,40793140530
nokia,-59,2024-09-04 12-30-17,-18308,-37,40766952380,2116841964,OtiWfpVP,40734445171
nokia,22,2024-09-04 12-31-58,-12491,-40,40756624736,410847428,qAbBnIXX,40768132125
nokia,-31,2024-09-04 12-32-10,-10163,-100,40781696463,1096477153,mMmFkHwJ,40727434562
nokia,118,2024-09-04 12-30-53,-6301,-7,40750151592,287460451,znhhVdSi,40715346335
nokia,-93,2024-09-04 12-30-18,-30235,95,40741189038,561178144,SAXXXKOD,40780942182
nokia,24,2024-09-04 12-31-17,-13340,-28,40763039383,-383320943,hBVOFPwZ,40700315403
nokia,78,2024-09-04 12-32-41,-2265,-40,40705447998,-1856295637,sAwVHeQs,40722510963
nokia,81,2024-09-04 12-33-28,23344,-1,40775024041,544893060,ouLOTeRd,40773414776
nokia,-46,2024-09-04 12-30-13,30322,-68,40762045906,-892260382,TYtKJmvF,40773413171
nokia,118,2024-09-04 12-33-52,3946,90,40765752039,-1497084662,vwOWWqVb,40709080896
nokia,-66,2024-09-04 12-31-34,4659,121,40702154672,-979234911,krRoVQrz,40731019287
nokia,-121,2024-09-04 12-32-32,6432,-110,40736037796,-784472892,glklDkEf,40720850888
nokia,-10,2024-09-04 12-32-24,3305,123,40784786264,-1559904507,RSvfPnyY,40749516531
nokia,10,2024-09-04 12-34-10,-19811,15,40747344490,1086833370,vDXuuBve,40716786017
nokia,-36,2024-09-04 12-31-43,24138,-59,40718340243,1837426319,dKbVQdtT,40781643487
nokia,4,2024-09-04 12-31-32,-2362,-79,40706774788,1128568905,ZVTaYuNt,40736291554
nokia,-11,2024-09-04 12-30-28,14056,-107,40722955721,-244357478,CIMjMwPH,40755400320
nokia,13,2024-09-04 12-33-41,18254,-82,40725438461,-1692459428,xJmIpHSl,40727913061
nokia,17,2024-09-04 12-33-44,1414,-21,40727857312,1109398560,rVterbgl,40735434037
nokia,8,2024-09-04 12-34-27,-1052,-95,40789766567,616613017,cbxomCfg,40709283412
nokia,-41,2024-09-04 12-31-04,3608,-10,40730459727,1579282806,ERufNCcF,40790384938
