src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,85,2024-09-04 00-38-57,31223,-58,40722249332,188110648,RZvYaoeg,40786991883
nokia,52,2024-09-04 00-36-44,-14715,53,40729148467,-609243756,OMcSrhpc,40757653533
nokia,35,2024-09-04 00-35-32,13066,34,40746795280,-451922929,SQwqAdRv,40712535451
nokia,38,2024-09-04 00-36-30,-9668,31,40703933576,1220714046,qMZyXrMq,40787816845
nokia,-87,2024-09-04 00-36-45,3679,52,40706882461,-203999399,VQTfrrqL,40707981062
nokia,-6,2024-09-04 00-36-25,14626,104,40785982122,-1900504239,HKiXSVgZ,40790589714
nokia,19,2024-09-04 00-37-28,6497,-89,40798263956,-1508979254,KTzERiAu,40761402908
nokia,124,2024-09-04 00-35-55,-4341,11,40783046117,-1976666922,faAAxdhh,40745465907
nokia,115,2024-09-04 00-35-35,-24,-42,40799164402,782345025,TCYtxlWl,40764503729
nokia,16,2024-09-04 00-38-55,17286,104,40791074060,-2146044935,kMPdiUJB,40790041475
nokia,-69,2024-09-04 00-38-37,-11957,18,40726501404,1487426698,DCxaqXyh,40729745361
nokia,7,2024-09-04 00-38-11,26351,-95,40715177562,-183934872,wWXLacKr,40748390593
nokia,53,2024-09-04 00-38-19,-1507,-81,40710648947,1136097505,einanVeY,40754691789
nokia,-100,2024-09-04 00-36-53,23589,106,40723777469,-1442576459,dmnGgIUt,40753008921
nokia,-25,2024-09-04 00-37-28,1359,37,40741455442,-2077551802,ZohNLsNf,40731702414
nokia,-46,2024-09-04 00-35-15,3809,-44,40717222320,1187211963,CvXvakjI,40701236933
nokia,64,2024-09-04 00-38-43,24132,86,40732906151,142061309,nhgzlOeq,40729715162
nokia,-89,2024-09-04 00-39-25,25737,-118,40752327947,711397733,pAlhFdTp,40717538491
nokia,5,2024-09-04 00-38-25,10145,114,40780597537,-250847837,CtjiELZw,40728051685
nokia,95,2024-09-04 00-37-40,12160,-70,40731116018,-110482791,kLQHATcM,40736319730
nokia,-82,2024-09-04 00-36-38,31010,100,40747326978,-830020509,vOPyppLm,40786574551
nokia,-110,2024-09-04 00-37-56,-25904,14,40728875666,559409089,dEcdGnEr,40761489734
nokia,-110,2024-09-04 00-39-49,20469,-35,40720317505,-1408448186,aAnjkiGT,40701646148
nokia,-77,2024-09-04 00-38-56,26000,-122,40762400366,-1817676311,gnorbyNR,40701006744
nokia,67,2024-09-04 00-39-20,-15142,56,40728202431,1565568246,FRRsbaxf,40776422897
nokia,61,2024-09-04 00-38-40,-23560,-116,40740060377,773234755,eihkxjoc,40706173795
nokia,71,2024-09-04 00-36-46,6264,-17,40719386460,1760349579,vNxkkfSQ,40755764682
nokia,-103,2024-09-04 00-36-13,-31282,22,40706891413,-1189180027,LetIKfwQ,40760435278
nokia,-110,2024-09-04 00-37-55,27936,50,40716203802,2108731061,SJEHTjgR,40770722934
nokia,-14,2024-09-04 00-39-13,20677,-114,40715267412,1728759011,JGjujQyg,40772929273
nokia,-41,2024-09-04 00-36-30,31628,45,40784637865,-1431585156,eRqqndTW,40791053088
nokia,-9,2024-09-04 00-39-58,10282,-31,40709599890,-1005602594,jRdGAqOz,40764183914
nokia,-19,2024-09-04 00-35-14,-13318,-55,40724609311,452214488,cLHbErWz,40717294882
nokia,-21,2024-09-04 00-37-25,23885,15,40733398081,1684378907,WpxzwHKP,40726288443
nokia,92,2024-09-04 00-35-47,13339,-22,40765572702,-1385349853,AfSEhFYa,40737871639
nokia,55,2024-09-04 00-38-06,29704,-14,40790450394,1608601914,fxkwQqwo,40761552326
nokia,-61,2024-09-04 00-38-05,-18542,-35,40783101574,553652350,zxhMWsBf,40756334923
nokia,-94,2024-09-04 00-37-29,-16952,-100,40747586456,447318319,okGbIKJc,40720174305
nokia,59,2024-09-04 00-36-08,28182,-97,40715125831,172547864,YDQNkoCF,40774548041
nokia,47,2024-09-04 00-37-41,21966,-8,40713798597,-1447112980,DgfKRsGA,40705582112
nokia,28,2024-09-04 00-36-31,27877,45,40797696140,692915943,bePSsTNe,40703942598
nokia,-72,2024-09-04 00-37-15,-31678,4,40723301292,-1600850575,dfuXKzYb,40791796285
nokia,-112,2024-09-04 00-36-27,13838,-49,40731174029,-1703136844,TtGZGoMI,40776309526
nokia,-113,2024-09-04 00-36-06,-8051,16,40785542937,563603509,dcaqiRYH,40716479963
nokia,-128,2024-09-04 00-36-27,28377,87,40789091613,-641744993,DfUkCUcp,40764277746
nokia,29,2024-09-04 00-35-03,-16923,-17,40799574251,233293439,HvGoupRk,40750447974
nokia,-24,2024-09-04 00-38-06,-11256,28,40786769183,-478304451,MVirIWFv,40720438993
nokia,-69,2024-09-04 00-39-15,12296,32,40775533553,-1191410820,cPtjvTYn,40754686301
nokia,-69,2024-09-04 00-35-10,23531,-15,40790125313,-2115234784,LXoQqeJV,40791310658
nokia,-34,2024-09-04 00-37-17,7653,31,40789412281,739858878,IGcHOSMI,40746172212
nokia,57,2024-09-04 00-36-57,12420,-16,40700647884,645938120,aHQPZoti,40790905382
