src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,EoEeXc,-127,-81,2024-09-04 12-14-35,40700607158,-32449,40789738093
alcatel,eHFrjJ,48,-79,2024-09-04 12-13-08,40766699535,-28016,40777817214
alcatel,TgrgY,111,-123,2024-09-04 12-10-36,40733825872,9455,40785516354
alcatel,SUSSs,25,-51,2024-09-04 12-11-29,40749380080,-13814,40721199768
alcatel,WfdO,-102,18,2024-09-04 12-12-57,40779313944,-5022,40795823551
alcatel,FUJZRr,-96,-27,2024-09-04 12-13-03,40747309659,-12713,40777595690
alcatel,tSHATr,-79,76,2024-09-04 12-13-45,40797460141,10147,40761838544
alcatel,UNWcy,38,98,2024-09-04 12-10-58,40797946680,-24727,40785289647
alcatel,UqBoVI,-99,31,2024-09-04 12-10-37,40771448562,-11480,40731059918
alcatel,qtzZs,70,-113,2024-09-04 12-13-32,40710680399,-9375,40787895218
alcatel,ref,25,25,2024-09-04 12-12-03,40709626640,-30984,40766757825
alcatel,MwTOho,-34,2,2024-09-04 12-12-33,40787870445,-2556,40743540822
alcatel,VtFX,101,-38,2024-09-04 12-11-29,40726636033,6571,40721915378
alcatel,LUFqlm,97,-64,2024-09-04 12-14-55,40778218510,-24062,40712928046
alcatel,GTnGc,32,-101,2024-09-04 12-14-29,40785738365,-6196,40739268078
alcatel,bIMazN,-115,83,2024-09-04 12-10-47,40726177631,15877,40711027154
alcatel,JmbKZD,52,3,2024-09-04 12-11-56,40767265744,-15674,40775341201
alcatel,SeNqTz,63,-15,2024-09-04 12-14-37,40775889618,-22556,40733849027
alcatel,EWjiO,39,-111,2024-09-04 12-14-03,40738908058,-6421,40743129534
alcatel,FqQy,39,-44,2024-09-04 12-10-51,40715022907,-19468,40762862763
alcatel,ZUQv,-62,-11,2024-09-04 12-12-33,40727270046,15604,40786821552
alcatel,ReRZNr,-22,-56,2024-09-04 12-13-43,40735502242,-12063,40783321040
alcatel,gKu,-125,-7,2024-09-04 12-13-58,40717075701,23636,40761363264
alcatel,umTepI,-69,29,2024-09-04 12-11-28,40795314483,4412,40793941768
alcatel,rHbp,125,2,2024-09-04 12-10-09,40721292984,23520,40701798959
alcatel,VPTDRO,-4,-64,2024-09-04 12-12-36,40789025078,20955,40749106827
alcatel,YVgOLU,-66,121,2024-09-04 12-13-19,40798441525,213,40728756811
alcatel,KIKMgK,-82,-4,2024-09-04 12-13-27,40718146375,27190,40754088523
alcatel,SMIloN,42,30,2024-09-04 12-12-44,40789975860,-9156,40717745696
alcatel,kFC,6,95,2024-09-04 12-14-26,40770286795,26999,40726366240
alcatel,GiTga,22,-78,2024-09-04 12-10-57,40711429434,11152,40744547163
alcatel,uJVuhi,85,57,2024-09-04 12-14-41,40756069351,-24680,40732514236
alcatel,PVIou,51,106,2024-09-04 12-11-53,40783583515,-31934,40751798329
alcatel,pTQn,31,-78,2024-09-04 12-10-52,40746933444,-6645,40703757006
alcatel,vERnVO,-61,115,2024-09-04 12-13-27,40784380475,-20263,40712491015
alcatel,vYwQVb,-52,-115,2024-09-04 12-11-27,40718465041,26819,40759877957
alcatel,oUuh,-1,-95,2024-09-04 12-13-13,40711772000,-28986,40713239259
alcatel,SCGFHS,87,14,2024-09-04 12-10-16,40770066258,-14351,40705822429
alcatel,QjO,-108,52,2024-09-04 12-14-40,40789076018,-8910,40723066167
alcatel,JgKW,-14,-106,2024-09-04 12-10-02,40768667028,27228,40730581011
alcatel,LgFgZ,79,-127,2024-09-04 12-11-06,40791901333,30162,40735618757
alcatel,CJwP,26,-102,2024-09-04 12-14-26,40764526917,3681,40781274519
alcatel,KND,42,-123,2024-09-04 12-14-28,40747401924,22987,40731944685
alcatel,jVSzs,93,2,2024-09-04 12-10-53,40791828812,26195,40704529801
alcatel,Wlq,-30,-32,2024-09-04 12-11-38,40759409958,8903,40780361465
alcatel,afZX,-22,107,2024-09-04 12-10-51,40756203091,14451,40707930168
alcatel,IaBB,89,52,2024-09-04 12-13-14,40752095833,-27394,40745192296
alcatel,kLTr,11,5,2024-09-04 12-14-03,40717791194,22746,40707022157
alcatel,ylaLjn,-73,127,2024-09-04 12-14-13,40788343025,-25778,40725824277
alcatel,eTt,35,-126,2024-09-04 12-11-39,40724513334,-10823,40732000818
alcatel,DSm,-76,-31,2024-09-04 12-13-55,40751068272,-878,40739485258
alcatel,JvgvHA,118,-4,2024-09-04 12-11-07,40736577811,2992,40740415828
alcatel,ktcst,64,-12,2024-09-04 12-10-49,40724836588,9748,40709956738
alcatel,IiJjxJ,-23,-126,2024-09-04 12-12-58,40762353915,-21829,40797408556
alcatel,rxGQo,54,83,2024-09-04 12-12-48,40789515539,18937,40744009556
alcatel,nehj,-76,-29,2024-09-04 12-10-03,40710969772,25324,40758837803
alcatel,ritF,-79,-68,2024-09-04 12-13-15,40796310764,1496,40731730858
alcatel,gzL,-10,103,2024-09-04 12-10-19,40750288614,18293,40791973361
alcatel,zdNly,-49,-51,2024-09-04 12-14-02,40761292575,5707,40772990226
alcatel,RSbECZ,115,4,2024-09-04 12-13-24,40753991306,8190,40742046448
alcatel,PDO,-113,-20,2024-09-04 12-12-59,40746253489,14355,40740818016
alcatel,JMsWI,25,120,2024-09-04 12-11-36,40781552305,32498,40736049207
alcatel,Bfp,16,-8,2024-09-04 12-11-46,40731258401,-13542,40704334912
alcatel,MOXW,-101,13,2024-09-04 12-10-59,40754963331,-14293,40783049990
alcatel,Efkqc,73,12,2024-09-04 12-15-00,40762037601,5842,40778597505
alcatel,oNyXh,41,13,2024-09-04 12-10-27,40701102714,22799,40759723429
alcatel,MghhDJ,-125,-52,2024-09-04 12-14-22,40728320386,-22375,40735644486
alcatel,yYqPJ,-89,32,2024-09-04 12-12-49,40737418187,2623,40769892944
alcatel,qBd,-1,-4,2024-09-04 12-10-35,40738987495,5862,40768909910
alcatel,bSl,-28,101,2024-09-04 12-13-14,40755444288,17709,40778780880
alcatel,ZdGg,-63,-53,2024-09-04 12-13-38,40779840234,-28111,40781096862
alcatel,YtiuMS,-59,34,2024-09-04 12-11-08,40714484678,-17709,40713942967
alcatel,Digu,57,-101,2024-09-04 12-12-45,40796584255,-8368,40717656777
alcatel,jVdzX,-45,39,2024-09-04 12-10-01,40768205408,22789,40718883283
alcatel,mjJ,-8,-16,2024-09-04 12-13-02,40723938876,22477,40773097082
alcatel,RDVSq,57,-32,2024-09-04 12-10-21,40740755545,-478,40717082460
alcatel,ufm,120,126,2024-09-04 12-13-34,40786335510,-29603,40728156700
alcatel,PmbKbH,-67,-67,2024-09-04 12-11-14,40774808775,23118,40755798289
alcatel,GwGJ,126,-76,2024-09-04 12-10-45,40798298893,7899,40708943510
alcatel,CciQTL,119,-86,2024-09-04 12-13-46,40785446241,11635,40788380000
alcatel,OHsABG,-38,-20,2024-09-04 12-14-52,40749854085,-23075,40713413641
alcatel,nrKv,56,77,2024-09-04 12-13-26,40787545647,-8117,40762722773
alcatel,YaZng,32,97,2024-09-04 12-11-50,40729312582,-15067,40718918976
alcatel,xOGOI,-49,76,2024-09-04 12-14-14,40747352571,-10376,40786537023
alcatel,ulaFX,-101,106,2024-09-04 12-14-31,40795803862,3886,40709751305
alcatel,acg,26,-68,2024-09-04 12-13-24,40718287395,-603,40766815934
alcatel,CeWxv,24,-45,2024-09-04 12-10-35,40775347962,-24575,40722146440
alcatel,gIEugr,15,-123,2024-09-04 12-13-03,40763662700,7825,40735246931
alcatel,RSAON,-116,-60,2024-09-04 12-14-09,40739329138,8029,40749647539
alcatel,tMQG,51,-15,2024-09-04 12-11-48,40703544409,-917,40791724326
alcatel,LYYoz,-27,86,2024-09-04 12-10-33,40773333413,32070,40752657051
alcatel,dUVyK,-28,-93,2024-09-04 12-15-00,40782920539,-7200,40722927462
alcatel,puElI,117,95,2024-09-04 12-10-20,40751666744,23690,40752303685
alcatel,CYYQv,-42,-45,2024-09-04 12-14-53,40762676056,-7463,40787684334
alcatel,rUdSWz,-24,-64,2024-09-04 12-14-35,40743123833,-4127,40705014653
alcatel,fRiQg,99,-118,2024-09-04 12-11-15,40771856295,-21315,40745010023
alcatel,jHO,18,-111,2024-09-04 12-14-54,40738906177,-4572,40796284518
alcatel,Yjoo,-77,-32,2024-09-04 12-10-20,40723185877,7783,40709164633
alcatel,MNFc,96,-110,2024-09-04 12-13-03,40719458910,-6873,40706605458
alcatel,sHkItd,-116,-42,2024-09-04 12-14-32,40731709868,-8070,40709124881
alcatel,Uix,63,-48,2024-09-04 12-12-23,40715595573,-2086,40759691878
alcatel,hnGBG,70,16,2024-09-04 12-13-28,40796426532,12052,40770127987
alcatel,stpoRA,43,84,2024-09-04 12-12-47,40758542837,-8221,40767922967
alcatel,FCin,78,-112,2024-09-04 12-13-48,40731079965,-1788,40797359279
alcatel,RstJ,17,43,2024-09-04 12-10-17,40793712749,-23801,40729879047
alcatel,ylAJD,-55,-117,2024-09-04 12-13-04,40763151741,16995,40716475843
alcatel,VhSf,103,-102,2024-09-04 12-14-02,40722734294,12447,40736194406
alcatel,ySDGH,43,-53,2024-09-04 12-13-49,40710280237,-11909,40762217385
alcatel,WYw,-101,17,2024-09-04 12-13-22,40766312856,-17500,40796215507
alcatel,LjX,46,-20,2024-09-04 12-13-01,40753017458,-27656,40746583235
alcatel,mgj,-124,-39,2024-09-04 12-10-42,40770161999,-5500,40720859420
alcatel,rYFudA,-52,-99,2024-09-04 12-13-13,40729830231,16976,40770007175
alcatel,BEnkaB,-14,9,2024-09-04 12-11-54,40738178044,-16562,40710400031
alcatel,LdIlaq,-77,59,2024-09-04 12-11-33,40731408226,-17127,40747759561
alcatel,BjlxnC,-94,58,2024-09-04 12-14-07,40738524732,-9091,40763186714
alcatel,hiKpR,-45,84,2024-09-04 12-10-54,40772191002,-18772,40709759893
alcatel,jWRbYh,-111,88,2024-09-04 12-12-42,40712419708,-32075,40786200514
alcatel,zqcv,71,-11,2024-09-04 12-11-59,40737042450,27278,40716187482
alcatel,zxDmA,12,-36,2024-09-04 12-10-52,40772940185,16333,40715714177
alcatel,HKxEzS,-126,37,2024-09-04 12-14-08,40786986780,6530,40790465472
alcatel,PNkIL,-98,-68,2024-09-04 12-12-56,40705435722,20660,40774530493
alcatel,BHJ,-1,-1,2024-09-04 12-12-23,40700005176,-14606,40700349674
alcatel,CrxE,-80,86,2024-09-04 12-12-51,40774434381,-23758,40766524258
alcatel,Svc,27,-119,2024-09-04 12-12-42,40789464165,-18678,40747565562
alcatel,eUqtm,-120,111,2024-09-04 12-14-48,40715836997,-12981,40777943308
alcatel,dyxkK,-117,-54,2024-09-04 12-14-17,40726874376,-21828,40765382093
alcatel,xZcvnX,86,15,2024-09-04 12-13-56,40786466007,-17092,40760574122
alcatel,rMNhL,-46,90,2024-09-04 12-10-42,40746628357,-13899,40749165432
alcatel,cmYt,-50,-54,2024-09-04 12-10-37,40782362396,32414,40786905678
alcatel,vGFzLG,57,-36,2024-09-04 12-13-16,40752933164,27052,40759121172
alcatel,jbSSL,-25,-10,2024-09-04 12-11-03,40705828818,26405,40795693304
alcatel,PTqu,-16,32,2024-09-04 12-14-06,40725443167,-30130,40725565511
alcatel,MmKkE,-43,29,2024-09-04 12-14-34,40772250943,-30697,40703552117
alcatel,jky,105,77,2024-09-04 12-10-58,40709206725,-161,40767034408
alcatel,tUj,24,102,2024-09-04 12-13-50,40747003607,11530,40729155603
alcatel,KJcBTF,-28,-123,2024-09-04 12-10-28,40700461954,-32239,40776783661
alcatel,NagY,79,10,2024-09-04 12-10-22,40794943076,8355,40707234750
alcatel,lyQRuv,-95,-70,2024-09-04 12-11-36,40718514775,21173,40758541634
alcatel,iUf,-74,-13,2024-09-04 12-14-42,40770994277,-9472,40795343903
alcatel,hAHiO,-104,-88,2024-09-04 12-12-59,40701333385,11745,40702731447
alcatel,hvzt,-101,-45,2024-09-04 12-14-41,40741207294,16319,40715379687
alcatel,rbO,59,73,2024-09-04 12-14-28,40797136959,-3061,40774005694
alcatel,kRVeG,85,93,2024-09-04 12-12-20,40796249391,12113,40788729696
alcatel,lMIcU,-93,-110,2024-09-04 12-13-10,40733732656,10327,40714480770
alcatel,zBeRFy,29,-42,2024-09-04 12-12-57,40702628045,25792,40727454037
alcatel,mYJ,-103,-3,2024-09-04 12-11-09,40778377414,-30735,40749832886
alcatel,FyeY,24,-8,2024-09-04 12-13-41,40734465897,-25814,40791246420
alcatel,AtfPrm,-31,58,2024-09-04 12-12-40,40739444246,-30889,40768935528
alcatel,kdKv,-109,40,2024-09-04 12-11-42,40705670541,-25949,40790824465
alcatel,nMeEj,98,-92,2024-09-04 12-14-50,40729370585,26949,40745413708
alcatel,JBIgM,-48,-76,2024-09-04 12-14-04,40771246930,15375,40745998348
alcatel,Spd,77,46,2024-09-04 12-10-32,40791534866,31670,40769556589
alcatel,MsVVi,29,-119,2024-09-04 12-10-36,40730729101,-13524,40719017199
alcatel,aYV,99,-116,2024-09-04 12-12-23,40718239661,-6079,40746984278
alcatel,sLc,65,-116,2024-09-04 12-11-08,40751596272,-3179,40725996916
alcatel,Kuv,-9,20,2024-09-04 12-13-38,40716747026,-6043,40795001530
alcatel,oBf,-126,-85,2024-09-04 12-13-33,40715195231,-21661,40757229933
alcatel,ttAevd,68,-15,2024-09-04 12-14-24,40767909946,944,40730935508
alcatel,Lvuk,30,74,2024-09-04 12-13-16,40716181504,-13211,40791475960
alcatel,Mtr,-30,89,2024-09-04 12-11-56,40700347957,32734,40794139602
