src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,WQVJo,117,98,2024-09-03 19-11-08,40710944218,-2906,40785179908
alcatel,RcqM,-29,70,2024-09-03 19-10-59,40739369523,30235,40702105535
alcatel,nBA,13,-43,2024-09-03 19-15-00,40731401276,11107,40755107188
alcatel,RCvYOv,28,118,2024-09-03 19-13-27,40703519154,-8592,40717385047
alcatel,HjBbmA,51,-33,2024-09-03 19-13-01,40779104094,-15746,40718286520
alcatel,EKkIF,-65,15,2024-09-03 19-12-25,40711396531,23411,40769750187
alcatel,sgm,119,76,2024-09-03 19-14-59,40735195079,14057,40784166118
alcatel,HpqRRF,80,67,2024-09-03 19-12-31,40714931181,-30419,40765087137
alcatel,ngTMlJ,70,15,2024-09-03 19-10-11,40735573982,9255,40760255159
alcatel,GhDkJ,8,-70,2024-09-03 19-14-30,40789066533,7986,40729483180
alcatel,HgAHG,-16,-106,2024-09-03 19-14-38,40780228611,5593,40757596463
alcatel,pBTZH,-77,-76,2024-09-03 19-14-17,40713833000,4847,40746169716
alcatel,kdpW,-5,-85,2024-09-03 19-13-02,40774078778,6026,40787599236
alcatel,UuLR,-64,56,2024-09-03 19-14-41,40720633602,6172,40750604064
alcatel,cocjT,122,43,2024-09-03 19-12-04,40788278920,6150,40717377255
alcatel,yetl,62,-126,2024-09-03 19-10-06,40748289547,-12086,40745829132
alcatel,TKDNf,101,-100,2024-09-03 19-13-24,40762831102,12028,40790135712
alcatel,kNS,-63,-88,2024-09-03 19-14-37,40741547811,-25231,40787770021
alcatel,cnC,-59,-6,2024-09-03 19-10-23,40710032353,-31561,40729577723
alcatel,PipV,-101,9,2024-09-03 19-12-57,40768210884,12384,40730042066
alcatel,oMWE,94,100,2024-09-03 19-11-47,40760833914,13639,40790893650
alcatel,Kad,30,51,2024-09-03 19-14-07,40764648256,-12257,40793535617
alcatel,QLUI,-52,-23,2024-09-03 19-12-34,40771783760,11049,40781571734
alcatel,RIWy,-80,-41,2024-09-03 19-10-13,40731193754,-27651,40751413324
alcatel,PyxbI,32,-125,2024-09-03 19-12-53,40711778230,-5285,40767311854
alcatel,ROOdeE,-88,28,2024-09-03 19-12-16,40782937052,-23242,40733532773
alcatel,dSu,106,100,2024-09-03 19-13-41,40758024585,7010,40764757835
alcatel,PZbEAs,-67,1,2024-09-03 19-13-36,40707455094,15090,40741323771
alcatel,KdX,-89,10,2024-09-03 19-14-50,40781325216,-13721,40772808153
alcatel,ZBfeSo,-74,-116,2024-09-03 19-10-36,40713000827,-31251,40787283252
alcatel,jdU,-105,-76,2024-09-03 19-10-38,40787026090,14679,40797359207
alcatel,yRQQv,-44,58,2024-09-03 19-10-28,40710864157,-31241,40770645469
alcatel,KUQ,-41,-47,2024-09-03 19-10-57,40746384936,-18538,40731124307
alcatel,FboOom,-35,119,2024-09-03 19-14-36,40722669363,-25335,40754261615
alcatel,cojEl,54,40,2024-09-03 19-10-19,40791680896,-29031,40706788516
alcatel,gda,-106,3,2024-09-03 19-10-34,40799853692,-20629,40747009776
alcatel,NcmQG,114,-14,2024-09-03 19-11-20,40784374591,-19346,40702416684
alcatel,WpgL,21,122,2024-09-03 19-12-13,40705827470,24953,40711347132
alcatel,daF,-80,-108,2024-09-03 19-13-34,40752169017,-1568,40730038334
alcatel,pZOe,-99,20,2024-09-03 19-14-29,40768418604,21681,40792416158
alcatel,MjdIDQ,-112,92,2024-09-03 19-14-58,40772106394,-16224,40734223354
alcatel,PzRS,-111,29,2024-09-03 19-10-43,40795461859,11292,40729658765
alcatel,evSZz,-78,105,2024-09-03 19-11-36,40707696780,-3291,40724489184
alcatel,sgnz,-9,-92,2024-09-03 19-14-52,40719554553,5352,40764884697
alcatel,WWmf,-76,88,2024-09-03 19-13-46,40794237938,-19604,40792770916
alcatel,GeGtaT,26,-18,2024-09-03 19-14-44,40742321077,-29310,40708208376
alcatel,UAZj,-112,70,2024-09-03 19-11-21,40735035664,1653,40765917187
alcatel,XozV,3,22,2024-09-03 19-11-25,40712767511,2840,40763421411
alcatel,Tamwj,38,67,2024-09-03 19-12-25,40783214414,15209,40713186246
alcatel,iuV,-86,96,2024-09-03 19-12-24,40704115803,29434,40775272421
alcatel,NAFLkV,-2,-3,2024-09-03 19-11-19,40789698475,8875,40787705131
alcatel,CVNTrZ,40,72,2024-09-03 19-13-25,40767603611,-16161,40780366614
