src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,kgK,-122,-51,2024-09-04 08-02-47,40713086093,15919,40787793789
alcatel,EcSl,-78,-23,2024-09-04 08-02-30,40753451675,-13466,40746116910
alcatel,zsl,35,-121,2024-09-04 08-02-20,40789722652,6994,40786418010
alcatel,eoOdq,67,39,2024-09-04 08-00-27,40782949773,-18590,40786032882
alcatel,YoF,-47,-7,2024-09-04 08-01-36,40727573303,-1430,40795152521
alcatel,ody,110,96,2024-09-04 08-03-02,40792052042,-18158,40784434310
alcatel,hTzWr,6,33,2024-09-04 08-03-51,40745590670,5500,40777358391
alcatel,aKrEcA,-62,-69,2024-09-04 08-00-53,40758278140,-32412,40741021653
alcatel,ucUKrP,-43,-51,2024-09-04 08-02-37,40727109846,-30162,40773564403
alcatel,VMvIYA,-82,41,2024-09-04 08-04-07,40779495274,-283,40750913605
alcatel,PdSBnO,-126,121,2024-09-04 08-01-23,40761176195,-11675,40718873664
alcatel,LBjLoB,-36,126,2024-09-04 08-02-51,40742828197,21080,40702718045
alcatel,aHjPTU,-47,69,2024-09-04 08-02-56,40717675835,30031,40727081956
alcatel,YNVA,99,54,2024-09-04 08-04-25,40724273974,-14121,40742556081
alcatel,kdY,21,-58,2024-09-04 08-04-08,40745786971,-4569,40768838086
alcatel,KQw,9,88,2024-09-04 08-02-22,40796935837,25165,40781946609
alcatel,Dboug,-17,-41,2024-09-04 08-00-38,40726012073,26797,40735340364
alcatel,NZB,-46,-81,2024-09-04 08-02-10,40794092572,-30973,40760136208
alcatel,QWJ,115,-75,2024-09-04 08-02-22,40786383513,26039,40709939198
alcatel,RSQie,-29,105,2024-09-04 08-00-56,40765204101,-22360,40703785724
alcatel,RNufN,-74,62,2024-09-04 08-00-29,40718439687,26750,40772286906
alcatel,TpCG,117,79,2024-09-04 08-00-11,40791272342,19293,40709823204
alcatel,LBRXqx,-5,-63,2024-09-04 08-00-14,40790964586,-20833,40766634801
alcatel,BKAR,-88,52,2024-09-04 08-04-46,40787515724,11713,40743422745
alcatel,emE,-3,-61,2024-09-04 08-00-56,40776574396,11439,40797128179
alcatel,HlfqC,13,-51,2024-09-04 08-03-57,40780733748,17612,40737015066
alcatel,jfgDkN,-60,32,2024-09-04 08-01-39,40757651888,-28357,40743894633
alcatel,Hkg,103,42,2024-09-04 08-04-13,40757864840,2540,40739452970
alcatel,UuCL,110,105,2024-09-04 08-02-11,40702781033,-1790,40732308783
alcatel,VFwGC,85,47,2024-09-04 08-01-09,40785655964,-23855,40747525887
alcatel,qhWrfd,-49,57,2024-09-04 08-04-57,40758391459,-24016,40768537854
alcatel,TQUB,112,3,2024-09-04 08-04-15,40791180646,-17579,40784216733
alcatel,slT,-27,-95,2024-09-04 08-01-49,40727859545,8447,40737722754
alcatel,FkLrv,105,100,2024-09-04 08-00-22,40777321789,25149,40703549662
alcatel,tYeePO,-65,43,2024-09-04 08-01-47,40714965320,23634,40748069296
alcatel,HDEx,33,23,2024-09-04 08-00-37,40755806941,23559,40727493734
alcatel,PmeNQ,-99,-34,2024-09-04 08-01-06,40700817394,-25600,40792648527
alcatel,bBhRSF,-1,-53,2024-09-04 08-02-07,40701827853,30589,40765761998
alcatel,hCm,114,0,2024-09-04 08-04-20,40765283883,-4162,40788742031
alcatel,kpgte,-102,-66,2024-09-04 08-00-41,40707772601,-30267,40727035125
alcatel,bXsYG,43,-99,2024-09-04 08-01-15,40755610822,-10135,40794703303
