src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-104,2024-09-03 22-52-08,10644,51,40740363753,1160730828,GamOnUIJ,40722994236
nokia,18,2024-09-03 22-50-42,-18151,103,40747138921,756213157,gYMixnUA,40736487876
nokia,123,2024-09-03 22-50-13,-18196,31,40714465988,-1397165899,BZbYWnUq,40740926463
nokia,76,2024-09-03 22-54-53,25428,4,40767665575,367960134,rYNgAVbF,40753452163
nokia,29,2024-09-03 22-50-11,-6636,91,40726906552,-1947954398,augdAvlL,40739464876
nokia,-88,2024-09-03 22-54-56,-16053,-58,40743305873,-811563074,PHyAqzVn,40711950952
nokia,-112,2024-09-03 22-53-11,-32365,-118,40753695840,1909775580,ltQttTFt,40791347506
nokia,48,2024-09-03 22-53-21,-17533,-51,40722816941,-785788592,XFxHkopX,40742601783
nokia,18,2024-09-03 22-50-39,-2144,55,40750475723,-254238123,xLZHSHRu,40757827387
nokia,-28,2024-09-03 22-52-13,12121,-126,40752475937,-1807870143,myCmcHEC,40782531235
nokia,-68,2024-09-03 22-52-26,26459,27,40789563625,2033737224,fbRmcbtW,40714788285
nokia,87,2024-09-03 22-50-57,-14424,35,40718325948,1416682630,KPcDpKXw,40734604330
nokia,-14,2024-09-03 22-52-00,-2269,-70,40754276590,1309520718,AoLZFZuI,40765266612
nokia,109,2024-09-03 22-54-04,28727,7,40727454702,1497117280,EVQzDlVV,40707136214
nokia,-73,2024-09-03 22-51-29,-29823,-104,40780675836,-803393396,pEpzIrMf,40773320787
nokia,-4,2024-09-03 22-54-23,9875,65,40735983126,1488334755,HtgGZadc,40779992760
nokia,15,2024-09-03 22-53-02,-5607,70,40716998702,-852499626,ouklUWpV,40752310754
nokia,12,2024-09-03 22-52-08,-4945,-114,40713162064,1355953001,DqmKavxb,40729098397
nokia,-96,2024-09-03 22-53-16,-15620,1,40761327420,208763055,vjuxHozw,40734446982
nokia,62,2024-09-03 22-53-01,4024,-46,40733893508,-1240287838,lxubeNpg,40790382869
nokia,-78,2024-09-03 22-53-45,-9977,10,40744235495,1631321218,RvRQBlpE,40726590886
nokia,-118,2024-09-03 22-52-52,-13065,-78,40723950091,1633785762,hsQqmaAK,40786502151
nokia,-67,2024-09-03 22-54-13,24557,-37,40792675623,-1773996847,WCVefZxX,40723108457
nokia,9,2024-09-03 22-54-39,11538,58,40758201440,390033376,KgrkvjoW,40795073176
nokia,-127,2024-09-03 22-53-27,6069,101,40780868256,-1693405540,LeHTIhri,40729833292
nokia,-94,2024-09-03 22-51-05,-8450,105,40754920943,-1822501369,YWFaYJJV,40766792987
nokia,121,2024-09-03 22-51-26,3020,121,40713916645,-1053778077,PixPinLN,40795935163
nokia,48,2024-09-03 22-53-56,9862,81,40772003420,725782105,EdiUExNX,40759158131
nokia,-116,2024-09-03 22-51-09,6431,98,40715626121,-441292844,NkiakCcx,40769953269
nokia,-8,2024-09-03 22-53-34,17930,89,40764125384,-453394198,RdRTcbWk,40739691361
nokia,-87,2024-09-03 22-54-43,-8443,-18,40742415987,823166896,bALcFXkH,40745374844
nokia,116,2024-09-03 22-51-30,4027,110,40764210481,1192608006,JpdjGMKe,40760907064
nokia,-39,2024-09-03 22-50-40,-21641,-70,40775974948,-374055499,QSjsQrvf,40700894698
nokia,-35,2024-09-03 22-51-22,30607,-94,40715983158,-129752933,rtwYNkxd,40778197654
nokia,53,2024-09-03 22-53-33,-28643,111,40758526660,1834667821,DhYvaRhL,40737348947
nokia,-44,2024-09-03 22-52-16,-17377,18,40752602452,527745071,MPpmREYO,40783508911
nokia,55,2024-09-03 22-50-44,8004,88,40779904060,-1224207200,HSDQGrLd,40743000023
nokia,-39,2024-09-03 22-54-45,-1475,96,40768398692,1026480975,ILfEooYy,40713094777
nokia,34,2024-09-03 22-53-30,3345,-31,40766174459,80734369,pvnJOHoM,40720476502
nokia,-49,2024-09-03 22-51-18,-8186,65,40720820067,1715324083,jSrwlvQb,40716333673
nokia,-32,2024-09-03 22-53-57,-17693,98,40702406177,1146364707,QWbqdDiV,40752229600
nokia,-17,2024-09-03 22-53-22,-12760,-91,40764778227,1679181362,oLGmrOLg,40772330511
nokia,-103,2024-09-03 22-52-05,-14436,-45,40761539517,1155083612,pNinCXbw,40793091991
nokia,-26,2024-09-03 22-54-06,-24832,-119,40789712212,131439202,QNlNqByV,40764548407
nokia,-12,2024-09-03 22-54-59,27879,-54,40770902395,2103698498,wEFfhRTf,40763056543
nokia,12,2024-09-03 22-53-47,4324,-21,40796907753,1934955757,WPcrwgZW,40709157635
nokia,45,2024-09-03 22-53-08,-4016,22,40744160308,912306400,PjIcipeW,40715233887
nokia,24,2024-09-03 22-54-45,-10155,55,40773925621,402073518,QqUfkCoR,40711979226
nokia,62,2024-09-03 22-52-20,19771,86,40742817912,-1656945728,RUeFMaAA,40765165542
nokia,-70,2024-09-03 22-52-23,-13981,-39,40762174207,1402289352,kPTwVcum,40747447953
nokia,69,2024-09-03 22-53-19,11978,-8,40751964676,-1269700316,WvgYJmQM,40765845891
nokia,-98,2024-09-03 22-53-07,-18747,102,40773410521,1002237875,hlCCXuVq,40742536235
nokia,84,2024-09-03 22-53-50,31418,85,40739422166,26190984,EgiQobSj,40757769790
nokia,17,2024-09-03 22-53-01,10707,-42,40778361305,306808940,vEuSVNce,40742708096
nokia,-71,2024-09-03 22-54-21,1637,-60,40769521129,-1482291067,bvMHNhfS,40751440312
nokia,-2,2024-09-03 22-50-15,-19235,-35,40764110039,-1481577389,sUtLAGmj,40757765275
nokia,64,2024-09-03 22-54-16,-15519,91,40731084452,-621723063,OahetKcU,40795888048
nokia,-25,2024-09-03 22-54-34,30045,22,40754969893,502430210,ZSYoiBdf,40793653686
nokia,-30,2024-09-03 22-52-36,-16804,83,40779409462,366496673,tcwHiLqF,40705282664
nokia,-83,2024-09-03 22-53-29,13310,106,40713501088,-988506517,odeoFrUR,40741617364
nokia,73,2024-09-03 22-51-39,9003,101,40736119560,417040907,tJcOazmU,40777278905
nokia,62,2024-09-03 22-54-07,-19703,94,40706647466,1582941550,wkHCXwZS,40797067448
nokia,-119,2024-09-03 22-53-40,12608,80,40793548593,1920150640,BQJCwkIx,40745836601
nokia,7,2024-09-03 22-51-45,4214,-4,40723002621,711032363,NDQQlwDb,40732631086
nokia,105,2024-09-03 22-54-48,-5901,-96,40722114338,-1044881813,qmilDSSI,40767257796
nokia,51,2024-09-03 22-51-35,5911,-8,40761778587,1700516899,KVeuQncm,40709520772
nokia,-3,2024-09-03 22-51-20,24944,-59,40765645978,1787544899,vwLXbjJq,40769279914
nokia,109,2024-09-03 22-51-08,-2465,56,40713544013,1429406849,WgXoxHeF,40794650727
nokia,58,2024-09-03 22-53-18,1454,-36,40740265090,64766189,unEoJrJh,40753168636
nokia,-101,2024-09-03 22-53-34,-14654,-8,40748008755,1435474268,LdfXkwDR,40712954185
nokia,9,2024-09-03 22-50-22,-28272,-109,40712876445,687363263,gwUFnmYs,40741120514
nokia,80,2024-09-03 22-51-18,6948,104,40754786025,-1885899704,NuuGWfsh,40736420900
nokia,52,2024-09-03 22-50-54,-21273,-4,40739577933,-2140008823,mdDdxprP,40705971312
nokia,-33,2024-09-03 22-54-40,27529,-104,40719273602,1197484133,qAAVGuiR,40764610927
nokia,122,2024-09-03 22-50-51,-23510,-103,40770961211,1288309633,qcXcBLog,40777236309
nokia,-114,2024-09-03 22-50-01,-20272,61,40768303757,2073182926,NWZNvgfN,40705447434
nokia,-20,2024-09-03 22-50-18,27962,-102,40728636387,2086220540,ouYpTjds,40769911331
