src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,ucss,-64,-45,2024-09-04 09-59-44,40772137720,445,40758348540
alcatel,uECTcx,59,-80,2024-09-04 09-55-13,40703519403,8226,40783442680
alcatel,AnjaB,80,65,2024-09-04 09-59-40,40725800594,-6188,40753771018
alcatel,zullO,96,-86,2024-09-04 09-56-05,40701027890,4913,40750125442
alcatel,YEElOM,-65,-25,2024-09-04 09-57-27,40764177805,31573,40736373090
alcatel,eVh,-84,12,2024-09-04 09-59-07,40763705037,-3714,40702345898
alcatel,GamX,-113,-119,2024-09-04 09-58-25,40715894019,-32292,40769102651
alcatel,pOcVV,107,-64,2024-09-04 09-57-50,40766340102,11648,40724904655
alcatel,NCm,115,-47,2024-09-04 09-59-25,40744598493,-1756,40726937290
alcatel,ufa,55,-92,2024-09-04 09-59-49,40767831384,-21334,40726126354
alcatel,tPm,96,107,2024-09-04 09-58-52,40783785247,-15637,40704634939
alcatel,Gmjzej,104,99,2024-09-04 09-57-05,40761880081,10286,40733606465
alcatel,nVc,-18,-110,2024-09-04 09-57-28,40763831331,-31594,40702815387
alcatel,emHBZM,-42,-15,2024-09-04 09-55-17,40712703148,25929,40784156671
alcatel,mMSwi,59,19,2024-09-04 09-57-38,40730884245,24503,40717660584
alcatel,WMf,90,95,2024-09-04 09-59-33,40734477395,-12780,40721451847
alcatel,RYL,105,40,2024-09-04 09-55-13,40790836245,30893,40747444340
alcatel,FJOQiB,-79,-13,2024-09-04 09-59-25,40777302793,-7926,40733389102
alcatel,mer,-118,24,2024-09-04 09-56-00,40746377706,-25664,40799521190
alcatel,gjDMt,-119,72,2024-09-04 09-56-24,40701747577,-24990,40763963014
alcatel,ndQRq,7,36,2024-09-04 09-56-18,40723712368,-21231,40754742871
alcatel,KQsNuU,-88,67,2024-09-04 09-57-56,40717352051,4090,40777352943
alcatel,LCa,-74,127,2024-09-04 09-58-06,40758275430,24230,40742891620
alcatel,Nqkjp,119,-116,2024-09-04 09-58-18,40770687407,5668,40740792253
alcatel,nFSBE,-12,-10,2024-09-04 09-57-57,40725146560,18816,40765927880
alcatel,pgUSC,-3,46,2024-09-04 09-57-00,40777705744,-3763,40754211095
alcatel,moZe,31,1,2024-09-04 09-57-31,40767186007,25269,40792433769
alcatel,THRiPP,48,-1,2024-09-04 09-56-20,40772947641,15948,40765080911
alcatel,LfT,-87,-86,2024-09-04 09-57-51,40711306426,19298,40749685017
alcatel,fIzt,101,49,2024-09-04 09-59-30,40706930402,-14028,40770888216
alcatel,QxZQi,115,-43,2024-09-04 09-57-58,40757470938,14145,40739908982
alcatel,jmu,28,-45,2024-09-04 09-59-14,40773468233,15735,40731437336
alcatel,xqMn,-39,-12,2024-09-04 09-55-53,40735701294,27308,40723595160
alcatel,wAv,-50,-82,2024-09-04 09-58-34,40731391566,14595,40764167590
alcatel,XZi,47,72,2024-09-04 09-59-38,40765321262,-2616,40774928934
alcatel,ZUoiP,-41,1,2024-09-04 09-59-50,40760298168,2223,40775823893
alcatel,bPDw,62,-91,2024-09-04 09-55-25,40775514725,25808,40712648547
alcatel,iRVG,94,-8,2024-09-04 09-55-57,40780848393,-1026,40726363066
alcatel,IPff,75,60,2024-09-04 09-56-17,40721747969,361,40752620771
alcatel,RFqKx,-78,84,2024-09-04 09-57-26,40788130668,1158,40798940579
alcatel,nUxsL,124,86,2024-09-04 09-57-46,40789791631,1376,40708746397
alcatel,rUr,27,35,2024-09-04 09-55-36,40769322355,12980,40754650049
alcatel,ptuGH,72,112,2024-09-04 09-57-13,40746033874,21341,40740376422
alcatel,fSF,-10,-1,2024-09-04 09-58-15,40706679261,30725,40715361479
alcatel,rVtIYx,89,75,2024-09-04 09-57-09,40765527091,-27194,40751782335
alcatel,gIr,-47,96,2024-09-04 09-58-56,40749776466,-18443,40715523687
