src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-29,2024-09-03 21-51-36,-1128,86,40711416092,1737552105,kAayuMIR,40780931501
nokia,-87,2024-09-03 21-51-49,-14526,-73,40798990431,481042362,GFteQbtz,40793867025
nokia,-30,2024-09-03 21-51-01,24953,77,40706048303,1392148452,GzLFlhWk,40733263783
nokia,-87,2024-09-03 21-51-05,-27400,87,40752929311,95022802,UXNrcYAv,40768696457
nokia,40,2024-09-03 21-52-43,20489,24,40722573729,71788659,SmxJARmW,40732719266
nokia,66,2024-09-03 21-53-14,-32408,50,40734912388,1205500325,TuScBDeZ,40733562834
nokia,95,2024-09-03 21-54-33,28150,-71,40750448954,1007781989,vXqBOciQ,40724070124
nokia,-19,2024-09-03 21-50-25,-23631,32,40716984451,2059335197,yAGkpFSf,40713990729
nokia,-71,2024-09-03 21-54-54,23125,51,40781980362,783770832,WPLhvCjw,40713342787
nokia,-52,2024-09-03 21-52-41,2692,-56,40704864686,-1552759081,WZkYcafA,40770340427
nokia,75,2024-09-03 21-54-14,25280,-114,40701049299,1035777922,QcMPlVYz,40797731092
nokia,64,2024-09-03 21-53-43,-28356,-50,40724978642,-1492284613,FeHgQvVS,40727284046
nokia,118,2024-09-03 21-52-17,21125,34,40768274785,-1882604627,wzYNxath,40729185479
nokia,64,2024-09-03 21-50-40,-31089,121,40785891009,-1054789067,iIcGbihT,40766954904
nokia,-87,2024-09-03 21-52-29,16765,50,40795796889,-272281727,EUfgIyiV,40787531896
nokia,-108,2024-09-03 21-50-27,18267,92,40708755204,-1138859578,uKKtjliK,40777070886
nokia,122,2024-09-03 21-51-12,10579,-68,40788299935,743010892,FPHPAPEr,40797629660
nokia,-116,2024-09-03 21-51-50,20798,-115,40794038041,6320098,gsjtkAes,40700679907
nokia,75,2024-09-03 21-52-49,-24085,11,40760539623,-90117321,vbclnLkp,40705290325
nokia,-103,2024-09-03 21-53-09,-26078,115,40725421053,892494785,pwDtiLGm,40742435863
nokia,85,2024-09-03 21-51-00,-25710,122,40769097194,-1863506739,PWJhycQW,40707553956
nokia,-60,2024-09-03 21-53-56,2612,121,40700198002,1946746979,TKbgdTnp,40700564091
nokia,-57,2024-09-03 21-50-39,32250,-108,40715055745,-709973841,fMzStswQ,40773071098
nokia,-78,2024-09-03 21-54-32,8181,68,40774541534,-1680615874,QFadLlni,40786296788
nokia,-42,2024-09-03 21-51-19,23878,-25,40754429182,-1232873547,vshjOfuy,40776236592
nokia,32,2024-09-03 21-53-21,20200,106,40721203227,-1779195704,ISHXLcVt,40741219862
nokia,-22,2024-09-03 21-52-24,-31562,-113,40776689172,1743219544,WzgtSULy,40727042088
nokia,74,2024-09-03 21-53-14,-10538,104,40781337337,-423829156,qwlzyezQ,40744451078
nokia,109,2024-09-03 21-52-05,872,76,40701632549,-1714690383,oYzLHCHO,40727268814
nokia,-102,2024-09-03 21-53-41,15730,42,40736835513,-1286764776,KgwWRSBv,40791325824
nokia,-48,2024-09-03 21-52-43,1768,-3,40702035149,1459052176,zWQauEbf,40794639432
nokia,-8,2024-09-03 21-54-47,-21045,100,40799306370,2133846288,FzZwjLNx,40730138481
nokia,-101,2024-09-03 21-50-44,21149,67,40702465954,-720694304,KJXAbPxa,40722093886
nokia,-38,2024-09-03 21-54-54,27656,58,40761658447,-812854190,ozYsBUZW,40706294044
nokia,100,2024-09-03 21-54-20,6047,-5,40715442381,-1671276795,htcmeSiO,40798988018
nokia,96,2024-09-03 21-50-42,27813,72,40758053231,-730751913,PhRhWkbe,40779112950
nokia,13,2024-09-03 21-54-23,8327,37,40705848509,-1869780191,wwzYbKfk,40711756876
nokia,120,2024-09-03 21-53-17,24426,30,40727043138,2146200550,AfEXoaew,40790631061
nokia,-120,2024-09-03 21-54-23,-22085,16,40701468191,-1848447108,GmUjiPtG,40772412131
nokia,-49,2024-09-03 21-54-06,6671,-47,40787269008,370372515,foJKwzDL,40790172895
nokia,99,2024-09-03 21-52-13,11317,-110,40741706162,1300393717,RZsKlRtr,40756147258
