src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,Uld,63,31,2024-09-04 12-55-14,40774967921,-3275,40774610904
alcatel,osZlp,29,96,2024-09-04 12-57-37,40760032597,-17212,40733025877
alcatel,Wyk,114,111,2024-09-04 12-58-00,40735102515,-30936,40776893473
alcatel,jjmTxT,-80,18,2024-09-04 12-56-00,40747460210,29794,40747973158
alcatel,aTXq,-73,27,2024-09-04 12-56-52,40704244350,3073,40798702675
alcatel,YPAV,-84,40,2024-09-04 12-55-39,40776796963,-26009,40725031433
alcatel,hfzbEP,-72,-3,2024-09-04 12-57-24,40723490017,23225,40716957866
alcatel,bNn,125,-96,2024-09-04 12-55-51,40769218315,27575,40787446067
alcatel,xxoQ,117,86,2024-09-04 12-58-03,40795711875,1799,40708816501
alcatel,tzu,-30,-59,2024-09-04 12-55-10,40734968101,-31694,40765507612
alcatel,tfJ,-75,64,2024-09-04 12-56-07,40768993970,-4746,40773685564
alcatel,AwdH,-64,-22,2024-09-04 12-57-47,40795037059,24490,40767061781
alcatel,uvh,126,53,2024-09-04 12-58-56,40719980176,17312,40758931569
alcatel,yBLdQQ,11,12,2024-09-04 12-56-07,40752672109,-27183,40752600678
alcatel,Ddd,68,27,2024-09-04 12-55-18,40770702799,-5390,40708181544
alcatel,Tvv,59,-9,2024-09-04 12-56-15,40746824601,-15092,40712225695
alcatel,bXqKax,93,91,2024-09-04 12-59-02,40763768554,24999,40792058880
alcatel,wMn,26,16,2024-09-04 12-56-12,40735007231,-28033,40702218194
alcatel,yBs,-34,2,2024-09-04 12-57-12,40750886210,25823,40791978079
alcatel,ALhO,78,58,2024-09-04 12-57-14,40783826550,27496,40734319210
alcatel,GczYh,-47,122,2024-09-04 12-58-53,40775061288,-19927,40765944336
alcatel,DaWlO,-79,-26,2024-09-04 12-56-17,40740941599,3637,40711500519
alcatel,gIF,-41,89,2024-09-04 12-59-32,40706915958,3589,40776110171
alcatel,cqb,-95,53,2024-09-04 12-57-54,40788721373,-11684,40763148833
