src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,ConfQ,-82,116,2024-09-03 17-39-24,40737648386,26300,40785197050
alcatel,GDJW,-7,119,2024-09-03 17-37-14,40783359047,-10046,40747097706
alcatel,zBrWgu,-97,-104,2024-09-03 17-36-04,40713423895,-32023,40771559444
alcatel,GnG,7,-18,2024-09-03 17-35-37,40722667006,9504,40751534642
alcatel,kElX,-79,58,2024-09-03 17-38-07,40764417954,30803,40723777032
alcatel,fXmBjX,-24,-47,2024-09-03 17-37-35,40732727248,-11445,40773037515
alcatel,QNt,-43,-101,2024-09-03 17-36-23,40743414302,-11898,40725643577
alcatel,FnRqIP,-113,-52,2024-09-03 17-38-26,40702774554,-1646,40734866785
alcatel,irz,34,15,2024-09-03 17-39-24,40768078500,-29793,40751511017
alcatel,Uet,125,96,2024-09-03 17-39-07,40751044255,-20070,40747807435
alcatel,viN,-68,62,2024-09-03 17-35-19,40757032599,10469,40737702294
alcatel,RoJi,-44,-35,2024-09-03 17-38-27,40763801618,-10478,40778764039
alcatel,oKQIKq,95,100,2024-09-03 17-37-42,40762960844,6693,40763502634
alcatel,GomZdK,-21,74,2024-09-03 17-36-22,40781198177,-10453,40723259554
alcatel,sfct,93,-109,2024-09-03 17-37-04,40767088492,-31441,40718740763
alcatel,IVs,84,-38,2024-09-03 17-39-34,40722142063,-19368,40708975591
alcatel,cOPL,-96,-18,2024-09-03 17-38-41,40746151544,3931,40796791348
alcatel,uoyzGI,112,-122,2024-09-03 17-36-09,40783388107,11906,40735909870
alcatel,EaLEvg,82,115,2024-09-03 17-35-04,40761522542,16036,40784699530
alcatel,PxW,58,-14,2024-09-03 17-35-41,40768382450,27596,40784809009
alcatel,muCt,100,-99,2024-09-03 17-36-52,40733407210,16250,40792212246
alcatel,CnH,29,-1,2024-09-03 17-38-22,40749681287,-7283,40727608930
alcatel,oHg,-39,-1,2024-09-03 17-39-10,40796927723,26773,40733238855
alcatel,gmhv,57,91,2024-09-03 17-37-08,40715786210,-22330,40717260075
alcatel,lLxO,-121,-70,2024-09-03 17-38-57,40768460754,-18147,40718402495
alcatel,bqp,-60,119,2024-09-03 17-35-04,40740946080,14309,40722475187
alcatel,PrWN,96,-56,2024-09-03 17-35-43,40770000288,24328,40745283170
alcatel,uaHyb,52,115,2024-09-03 17-37-54,40738547537,5942,40743034157
alcatel,oQm,49,123,2024-09-03 17-36-35,40736230281,-3384,40723768635
alcatel,ViAz,-124,96,2024-09-03 17-35-21,40782282498,-12316,40730421088
alcatel,LEUTQ,76,87,2024-09-03 17-36-03,40740938972,-29238,40754077905
alcatel,ZYv,-26,112,2024-09-03 17-37-58,40751558559,-16836,40776129951
alcatel,UeF,-12,10,2024-09-03 17-35-40,40780096932,-25425,40771734473
alcatel,yKf,-4,-30,2024-09-03 17-35-27,40793484457,-11974,40738254588
alcatel,CevH,26,-3,2024-09-03 17-39-06,40701865185,-13539,40721836226
alcatel,muPFHX,122,33,2024-09-03 17-39-39,40709408103,-8382,40731245096
alcatel,KKJc,46,102,2024-09-03 17-35-46,40763153274,-30740,40715692492
alcatel,mWPF,14,-104,2024-09-03 17-37-19,40720045875,5191,40794415044
alcatel,WKCd,-48,-41,2024-09-03 17-37-45,40797371509,2585,40736191784
alcatel,owyVf,35,-67,2024-09-03 17-37-24,40734195148,30745,40796688071
alcatel,MbmEH,30,-87,2024-09-03 17-39-57,40792230620,-28929,40788451012
alcatel,WHqQF,-21,105,2024-09-03 17-36-17,40761846210,-15503,40706433596
alcatel,uupfiq,-4,-49,2024-09-03 17-35-05,40763722335,1350,40774100223
alcatel,YyiN,-26,87,2024-09-03 17-38-33,40740769618,1028,40738854982
alcatel,faXrJ,95,-115,2024-09-03 17-37-22,40763595393,26599,40747962153
alcatel,pwf,-85,-111,2024-09-03 17-37-40,40781860950,-3534,40759995819
alcatel,MEq,11,-57,2024-09-03 17-38-13,40773537841,-1107,40786664942
alcatel,LGlZ,127,88,2024-09-03 17-38-08,40778759395,4216,40755049945
alcatel,wEHPDk,-101,20,2024-09-03 17-38-36,40780129601,-4774,40783860906
alcatel,VMdpgt,-75,-28,2024-09-03 17-39-30,40726112585,2511,40711203852
alcatel,kJHkU,-54,-56,2024-09-03 17-38-01,40708133025,-28424,40738413893
alcatel,ZpRs,-107,118,2024-09-03 17-39-21,40788890591,21666,40752608605
alcatel,Mhp,-12,-110,2024-09-03 17-37-37,40739479024,5234,40753179739
alcatel,KftJ,71,23,2024-09-03 17-39-05,40709690420,-8216,40763489063
alcatel,lbedt,-19,-93,2024-09-03 17-38-40,40781072299,-7998,40769067343
alcatel,xOZTOs,54,2,2024-09-03 17-37-42,40788371792,24286,40769373735
alcatel,wMXf,-112,23,2024-09-03 17-37-26,40770332955,11319,40748601128
alcatel,aCrRS,90,25,2024-09-03 17-38-12,40716668296,30368,40759762208
alcatel,nBsxlh,-125,-114,2024-09-03 17-37-05,40783240799,-12506,40769166301
alcatel,KgsVD,73,-35,2024-09-03 17-38-59,40791504200,28948,40709819342
alcatel,cQBz,-4,-101,2024-09-03 17-35-28,40759125546,27528,40723034204
alcatel,Tmvej,-57,61,2024-09-03 17-38-19,40737851984,1914,40767100794
alcatel,jtkd,-16,-39,2024-09-03 17-38-33,40711126694,-24380,40770621816
alcatel,bfXwCG,87,-113,2024-09-03 17-36-18,40794478533,-24716,40766727779
alcatel,aWK,27,81,2024-09-03 17-36-46,40720072683,29604,40722889649
alcatel,ROPT,44,34,2024-09-03 17-39-56,40712944414,-30799,40733477292
alcatel,ihxCq,74,19,2024-09-03 17-35-20,40768945949,-3167,40711978859
alcatel,WJLS,100,-128,2024-09-03 17-35-58,40779693302,5636,40751971032
alcatel,joDA,62,52,2024-09-03 17-37-22,40705868790,-124,40771971216
alcatel,gwQxad,-39,73,2024-09-03 17-35-18,40748175926,22637,40773230123
alcatel,TQvl,35,64,2024-09-03 17-39-12,40702315375,-22669,40763261413
alcatel,uDGbnR,-100,1,2024-09-03 17-35-22,40702648499,-26739,40769395783
alcatel,ADszPv,39,84,2024-09-03 17-37-27,40702086780,29244,40795896404
alcatel,FaTJiA,51,-83,2024-09-03 17-36-32,40703081795,14176,40774397702
alcatel,RiiXcW,-41,-111,2024-09-03 17-38-23,40725668971,-21816,40773049633
alcatel,YLPQmE,106,29,2024-09-03 17-37-16,40741808334,28537,40764112082
