src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-39,2024-09-04 08-43-46,-2634,12,40773124433,-769148028,ASRJMvti,40790628196
nokia,118,2024-09-04 08-43-55,-10291,-93,40726222286,778664299,jfZelarX,40713652466
nokia,-103,2024-09-04 08-40-06,-23687,-52,40744455561,-565866186,gIqCIOUF,40751276792
nokia,-26,2024-09-04 08-42-15,-11415,31,40732966432,1269235683,AVdFytNC,40784935147
nokia,-63,2024-09-04 08-40-39,-147,7,40715686919,481587776,HzwWPkhY,40738959991
nokia,-106,2024-09-04 08-42-43,-12257,-85,40778491166,720443396,omMhRzWA,40775302343
nokia,45,2024-09-04 08-43-11,-29193,68,40782661636,-1245322391,isylXzlj,40777190899
nokia,-51,2024-09-04 08-45-00,24914,122,40760148530,1407446415,cyRNvRoR,40717079378
nokia,36,2024-09-04 08-40-45,27228,-69,40719276191,-854145874,RXgnNwHF,40760352675
nokia,58,2024-09-04 08-41-33,7399,93,40722842775,-1066769034,zfwHfoOp,40707295074
nokia,-108,2024-09-04 08-42-07,32573,1,40711318475,-2144241192,YWScPpTR,40726604840
nokia,-15,2024-09-04 08-42-58,-15431,-81,40763623816,530930346,jWCEHyjh,40731934215
nokia,14,2024-09-04 08-42-30,18314,47,40726267738,-1103447132,KvOHvJZe,40731729732
nokia,-125,2024-09-04 08-40-12,5641,24,40776369886,939545778,ipItqjPs,40784036337
nokia,-49,2024-09-04 08-40-58,32068,-17,40782345928,416182399,AgoZJIzx,40749622519
nokia,-107,2024-09-04 08-43-36,29129,125,40725072566,-1284663806,XLSuTQiN,40784285884
nokia,-13,2024-09-04 08-42-10,25566,-69,40748379379,1029610497,ufUPyOZy,40714733302
nokia,-45,2024-09-04 08-44-23,15191,-100,40759723679,-567226940,EqumqJsJ,40750382870
nokia,111,2024-09-04 08-45-01,28540,-101,40713351792,386300136,qqtAdByQ,40725856590
nokia,-13,2024-09-04 08-42-33,-17158,-8,40798876021,-1755589913,ybsdFNVd,40737411106
